"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Likes,Shares,Comments,Saves,Reach,Follows
18361983898157411,17841463162024025,zlata.jpeg,"Zlata Plotnikova","@adidas we are coming after you 😈

#fitnessphotography#fitshoot#editorialfitness#aestheticfitness#fitnessportrait#fitandstrong#muscleaesthetic#fitnesseditorial#strongisbeautiful#photographerlife#fitmodelshoot#tonedphysique#studiofitnessshoot#fitspo#fitbodygoals#fitnessinspo#visualstrength#gymphotoshoot#contentcreatorphotographer#londonphotographer#fitnesslifestyle#photoshootvibes#fitculture#bodyaesthetic#fitnessvibes#wellnessphotography#athleticportrait#londonfitshoot#editorialportrait#fitnessstudio",0,"09/09/2025 01:13",https://www.instagram.com/p/DOX9eIgCJmM/,"IG image",,Lifetime,3814,50,1,4,3,517,0
18048893204306921,17841463162024025,zlata.jpeg,"Zlata Plotnikova","Sprint of retouching 2 months worth of work finished, now I can finally start flooding your feeds with the visuals 😍",0,"09/07/2025 03:19",https://www.instagram.com/p/DOTCO04CGl_/,"IG image",,Lifetime,6963,228,11,17,35,2147,6
18054577763629814,17841463162024025,zlata.jpeg,"Zlata Plotnikova","Happy beautiful Friday! 😍",0,"09/05/2025 02:30",https://www.instagram.com/p/DONzAlqiGaJ/,"IG image",,Lifetime,4099,37,0,3,1,534,0
18104767021580513,17841463162024025,zlata.jpeg,"Zlata Plotnikova","Finished retouching the whole series and can now finally proudly start sharing these in the feed with you 😍





 #lavender#lavenderphotoshoot#conceptphotography#londonphotography",0,"09/03/2025 12:34",https://www.instagram.com/p/DOJulwziFDT/,"IG carousel",,Lifetime,9658,95,2,10,7,1227,0
18081095824931498,17841463162024025,zlata.jpeg,"Zlata Plotnikova","What you guys think of the new lighting set ups? Mid July it hit me I want to experiment more and push myself a little, so hence you see the spotlights, neons etc.

#feminineenergy#empoweredbeauty#divinefeminine#softandstrong#beautyandstrength#femalepower#femininestyle#innergoddess#selfexpression#femaleportraits#feminineaesthetic#womensupportingwomen#editorialbeauty#gentlestrength#ownyourpower#authenticbeauty#radiantwoman#softfemcore#femalelens#beautyeditorial#creativewoman#strengthandgrace#feminineform#confidentbeauty#artofbeingawoman#beautyshoot#femininevibes#visualempowerment#graceandpower",0,"09/03/2025 01:39",https://www.instagram.com/p/DOIjlggiCAf/,"IG carousel",,Lifetime,4674,80,1,14,7,704,0
18069859100173144,17841463162024025,zlata.jpeg,"Zlata Plotnikova",Glutemorning!,0,"09/02/2025 00:39",https://www.instagram.com/p/DOF389PiIC2/,"IG image",,Lifetime,14798,436,66,21,52,4451,17
18057681023606233,17841463162024025,zlata.jpeg,"Zlata Plotnikova","Lifetime won’t be enough to show you all the masterpieces from this shoot 😍",0,"08/31/2025 06:50",https://www.instagram.com/p/DOBYy3-iFSU/,"IG image",,Lifetime,9804,196,6,12,29,2863,3
18291849004302012,17841463162024025,zlata.jpeg,"Zlata Plotnikova","360 degree view of an INSANE physique 🤯🥵😍





 #fitnessphotography#fitshoot#editorialfitness#aestheticfitness#fitnessportrait#fitandstrong#muscleaesthetic#fitnesseditorial#strongisbeautiful#photographerlife#fitmodelshoot#tonedphysique#studiofitnessshoot#fitspo#fitbodygoals#fitnessinspo#visualstrength#gymphotoshoot#contentcreatorphotographer#londonphotographer#fitnesslifestyle#photoshootvibes#fitculture#bodyaesthetic#fitnessvibes#wellnessphotography#athleticportrait#londonfitshoot#editorialportrait#fitnessstudio",0,"08/30/2025 11:26",https://www.instagram.com/p/DN_Toj1CPpP/,"IG carousel",,Lifetime,13888,316,11,71,19,2772,5
18042611030367204,17841463162024025,zlata.jpeg,"Zlata Plotnikova","Live love neons 🤩",0,"08/29/2025 03:26",https://www.instagram.com/p/DN736suCDPc/,"IG image",,Lifetime,6770,70,1,14,6,1081,1
18063611360029376,17841463162024025,zlata.jpeg,"Zlata Plotnikova","Can we talk about the perfect color grading here pls? 😍




#editorialvibes #fitnessaesthetics #sculptedelegance #boldandminimal #studiophotography #empoweredwomen #artisticstrength #contemporarymuse #confidenceinmotion #fashionandstrength #athleticeditorial #visualempowerment #studioaesthetics #modernfeminine #bodyasart #artisticportraits #empowerthroughart #sculptedconfidence #creativelighting #boldandbeautiful",0,"08/28/2025 03:44",https://www.instagram.com/p/DN5VN0HiMeU/,"IG carousel",,Lifetime,6346,67,2,7,6,943,0
18343235116167829,17841463162024025,zlata.jpeg,"Zlata Plotnikova","Sorry IG,
I tried,
I really did,
But I’d rather be shadow banned than restricted on what I can post xoxo



#FitnessAesthetics #StrongAndFeminine #ArtisticPhotography #EditorialVibes #BoldAndBeautiful #EmpoweredWomen #ArtOfStrength #ConfidenceInColor #StudioVibes #HighFashionInspo #FitnessPhotography #CreativePortraits #ModernMuse #BoldEditorial #SculptedPhysique #ArtisticLighting #EmpowerThroughArt #FitnessInspiration #VibrantAesthetic #StyleAndStrength",0,"08/27/2025 09:25",https://www.instagram.com/p/DN3XZRqUN2t/,"IG carousel",,Lifetime,9904,377,70,50,122,2285,3
18096662371626546,17841401797663308,kirstytaylor_ifbbpro,"𝗞𝗜𝗥𝗦𝗧𝗬 𝗧𝗔𝗬𝗟𝗢𝗥 🩷","🖤🤍

Another image from the lense of @zlata.jpeg x @makeoneup_

#fitnessmotivation #ifbbbikinipro #abs  #fitnesstrainer",0,"08/26/2025 14:59",https://www.instagram.com/p/DN1Yy2A2PC0/,"IG image",,Lifetime,26607,290,8,18,0,,
18525305971029733,17841463162024025,zlata.jpeg,"Zlata Plotnikova","Another non-butt photo, Mark Zuckerberg hope you notice my efforts",0,"08/26/2025 08:05",https://www.instagram.com/p/DN0pZuF0OuY/,"IG image",,Lifetime,5515,44,0,6,2,696,0
17844279564559808,17841463162024025,zlata.jpeg,"Zlata Plotnikova","Since IG is hating on female butts here are some male pecs instead and BTS",13,"08/26/2025 06:15",https://www.instagram.com/reel/DN0cyezRObC/,"IG reel",,Lifetime,640,18,0,2,0,660,0
18077257916068274,17841463162024025,zlata.jpeg,"Zlata Plotnikova","can’t get enough of this one 🤩🦢",0,"08/25/2025 10:21",https://www.instagram.com/p/DNyUOJiUF_l/,"IG image",,Lifetime,19550,142,6,10,7,3006,4
18086728831809654,17841463162024025,zlata.jpeg,"Zlata Plotnikova","shine bright 🪩",0,"08/25/2025 04:20",https://www.instagram.com/p/DNxq3x2UKIg/,"IG image",,Lifetime,10002,140,1,24,3,1682,0
18284108107257103,17841463162024025,zlata.jpeg,"Zlata Plotnikova","Will never get tired of this series 😍

Hope you won’t either 😉",0,"08/24/2025 03:25",https://www.instagram.com/p/DNu_yGP0I3t/,"IG image",,Lifetime,5388,41,0,6,4,654,0
